,SPY,Cash,
29/12/2017,$46166.78,$590.44,
30/12/2017,$46166.78,$590.44,
31/12/2017,$46166.78,$590.44,
1/1/2018,$46166.78,$590.44,
2/1/2018,$46497.21,$590.44,
3/1/2018,$46791.31,$590.44,
4/1/2018,$46988.53,$590.44,
5/1/2018,$47301.66,$590.44,
6/1/2018,$47301.66,$590.44,
7/1/2018,$47301.66,$590.44,
8/1/2018,$47388.16,$590.44,
9/1/2018,$47495.42,$590.44,
10/1/2018,$47422.76,$590.44,
11/1/2018,$47768.76,$590.44,
12/1/2018,$48080.16,$590.44,
13/1/2018,$48080.16,$590.44,
14/1/2018,$48080.16,$590.44,
15/1/2018,$48080.16,$590.44,
16/1/2018,$47915.81,$590.44,
17/1/2018,$48372.53,$590.44,
18/1/2018,$48291.22,$590.44,
19/1/2018,$48510.93,$590.44,
20/1/2018,$48510.93,$590.44,
21/1/2018,$48510.93,$590.44,
22/1/2018,$48905.37,$590.44,
23/1/2018,$49009.17,$590.44,
24/1/2018,$48990.14,$590.44,
25/1/2018,$49010.90,$590.44,
26/1/2018,$49578.34,$590.44,
27/1/2018,$49578.34,$590.44,
28/1/2018,$49578.34,$590.44,
29/1/2018,$49249.64,$590.44,
30/1/2018,$48744.48,$590.44,
31/1/2018,$48768.70,$590.44,
1/2/2018,$48713.34,$590.44,
2/2/2018,$47652.85,$590.44,
3/2/2018,$47652.85,$590.44,
4/2/2018,$47652.85,$590.44,
5/2/2018,$45659.89,$590.44,
6/2/2018,$46559.49,$590.44,
7/2/2018,$46306.91,$590.44,
8/2/2018,$0,$46956.17,
9/2/2018,$0,$46956.17,
10/2/2018,$0,$46956.17,
11/2/2018,$0,$46956.17,
12/2/2018,$0,$46956.17,
13/2/2018,$0,$46956.17,
14/2/2018,$0,$46956.17,
15/2/2018,$0,$46956.17,
16/2/2018,$0,$46956.17,
17/2/2018,$0,$46956.17,
18/2/2018,$0,$46956.17,
19/2/2018,$0,$46956.17,
20/2/2018,$0,$46956.17,
21/2/2018,$0,$46956.17,
22/2/2018,$0,$46956.17,
23/2/2018,$0,$46956.17,
24/2/2018,$0,$46956.17,
25/2/2018,$0,$46956.17,
26/2/2018,$47243.00,$48.07,
27/2/2018,$46653.10,$48.07,
28/2/2018,$46180.50,$48.07,
1/3/2018,$45509.00,$48.07,
2/3/2018,$0,$45234.07,
3/3/2018,$0,$45234.07,
4/3/2018,$0,$45234.07,
5/3/2018,$0,$45234.07,
6/3/2018,$0,$45234.07,
7/3/2018,$0,$45234.07,
8/3/2018,$0,$45234.07,
9/3/2018,$45734.68,$19.27,
10/3/2018,$45734.68,$19.27,
11/3/2018,$45734.68,$19.27,
12/3/2018,$45677.28,$19.27,
13/3/2018,$45382.08,$19.27,
14/3/2018,$45149.20,$19.27,
15/3/2018,$45100.00,$19.27,
16/3/2018,$44968.80,$199.18,
17/3/2018,$44968.80,$199.18,
18/3/2018,$44968.80,$199.18,
19/3/2018,$0,$45028.58,
20/3/2018,$0,$45028.58,
21/3/2018,$0,$45028.58,
22/3/2018,$0,$45028.58,
23/3/2018,$0,$45028.58,
24/3/2018,$0,$45028.58,
25/3/2018,$0,$45028.58,
26/3/2018,$0,$45028.58,
27/3/2018,$0,$45028.58,
28/3/2018,$0,$45028.58,
29/3/2018,$0,$45028.58,
30/3/2018,$0,$45028.58,
31/3/2018,$0,$45028.58,
1/4/2018,$0,$45028.58,
2/4/2018,$0,$45028.58,
3/4/2018,$0,$45028.58,
4/4/2018,$0,$45028.58,
5/4/2018,$0,$45028.58,
6/4/2018,$0,$45028.58,
7/4/2018,$0,$45028.58,
8/4/2018,$0,$45028.58,
9/4/2018,$0,$45028.58,
10/4/2018,$0,$45028.58,
11/4/2018,$0,$45028.58,
12/4/2018,$0,$45028.58,
13/4/2018,$0,$45028.58,
14/4/2018,$0,$45028.58,
15/4/2018,$0,$45028.58,
16/4/2018,$0,$45028.58,
17/4/2018,$0,$45028.58,
18/4/2018,$0,$45028.58,
19/4/2018,$44635.74,$266.68,
20/4/2018,$44257.26,$266.68,
21/4/2018,$44257.26,$266.68,
22/4/2018,$44257.26,$266.68,
23/4/2018,$44250.62,$266.68,
24/4/2018,$0,$44709.86,
25/4/2018,$0,$44709.86,
26/4/2018,$0,$44709.86,
27/4/2018,$0,$44709.86,
28/4/2018,$0,$44709.86,
29/4/2018,$0,$44709.86,
30/4/2018,$0,$44709.86,
1/5/2018,$0,$44709.86,
2/5/2018,$0,$44709.86,
3/5/2018,$0,$44709.86,
4/5/2018,$0,$44709.86,
5/5/2018,$0,$44709.86,
6/5/2018,$0,$44709.86,
7/5/2018,$0,$44709.86,
8/5/2018,$0,$44709.86,
9/5/2018,$0,$44709.86,
10/5/2018,$44883.30,$103.76,
11/5/2018,$45020.25,$103.76,
12/5/2018,$45020.25,$103.76,
13/5/2018,$45020.25,$103.76,
14/5/2018,$45041.70,$103.76,
15/5/2018,$44731.50,$103.76,
16/5/2018,$44919.60,$103.76,
17/5/2018,$44881.65,$103.76,
18/5/2018,$44769.45,$103.76,
19/5/2018,$44769.45,$103.76,
20/5/2018,$44769.45,$103.76,
21/5/2018,$45106.05,$103.76,
22/5/2018,$44980.65,$103.76,
23/5/2018,$45104.40,$103.76,
24/5/2018,$45012.00,$103.76,
25/5/2018,$44904.75,$103.76,
26/5/2018,$44904.75,$103.76,
27/5/2018,$44904.75,$103.76,
28/5/2018,$44904.75,$103.76,
29/5/2018,$44388.30,$103.76,
30/5/2018,$44980.65,$103.76,
31/5/2018,$44705.10,$103.76,
1/6/2018,$45144.00,$103.76,
2/6/2018,$45144.00,$103.76,
3/6/2018,$45144.00,$103.76,
4/6/2018,$45358.50,$103.76,
5/6/2018,$45391.50,$103.76,
6/6/2018,$45771.00,$103.76,
7/6/2018,$45766.05,$103.76,
8/6/2018,$45901.35,$103.76,
9/6/2018,$45901.35,$103.76,
10/6/2018,$45901.35,$103.76,
11/6/2018,$45962.40,$103.76,
12/6/2018,$46021.80,$103.76,
13/6/2018,$45874.95,$103.76,
14/6/2018,$45990.45,$103.76,
15/6/2018,$45726.45,$309.35,
16/6/2018,$45726.45,$309.35,
17/6/2018,$45726.45,$309.35,
18/6/2018,$45632.40,$309.35,
19/6/2018,$45457.50,$309.35,
20/6/2018,$45535.05,$309.35,
21/6/2018,$45249.60,$309.35,
22/6/2018,$45332.10,$309.35,
23/6/2018,$45332.10,$309.35,
24/6/2018,$45332.10,$309.35,
25/6/2018,$44715.00,$309.35,
26/6/2018,$44814.00,$309.35,
27/6/2018,$44442.75,$309.35,
28/6/2018,$44696.85,$309.35,
29/6/2018,$0,$45209.15,
30/6/2018,$0,$45209.15,
1/7/2018,$0,$45209.15,
2/7/2018,$0,$45209.15,
3/7/2018,$0,$45209.15,
4/7/2018,$0,$45209.15,
5/7/2018,$0,$45209.15,
6/7/2018,$45444.30,$141.05,
7/7/2018,$45444.30,$141.05,
8/7/2018,$45444.30,$141.05,
9/7/2018,$45853.50,$141.05,
10/7/2018,$46018.50,$141.05,
11/7/2018,$45681.90,$141.05,
12/7/2018,$46096.05,$141.05,
13/7/2018,$46132.35,$141.05,
14/7/2018,$46132.35,$141.05,
15/7/2018,$46132.35,$141.05,
16/7/2018,$46091.10,$141.05,
17/7/2018,$46277.55,$141.05,
18/7/2018,$46374.90,$141.05,
19/7/2018,$46200.00,$141.05,
20/7/2018,$46147.20,$141.05,
21/7/2018,$46147.20,$141.05,
22/7/2018,$46147.20,$141.05,
23/7/2018,$46233.00,$141.05,
24/7/2018,$46465.65,$141.05,
25/7/2018,$46861.65,$141.05,
26/7/2018,$46751.10,$141.05,
27/7/2018,$46434.30,$141.05,
28/7/2018,$46434.30,$141.05,
29/7/2018,$46434.30,$141.05,
30/7/2018,$46191.75,$141.05,
31/7/2018,$46419.45,$141.05,
1/8/2018,$46341.90,$141.05,
2/8/2018,$46594.35,$141.05,
3/8/2018,$46794.00,$141.05,
4/8/2018,$46794.00,$141.05,
5/8/2018,$46794.00,$141.05,
6/8/2018,$46965.60,$141.05,
7/8/2018,$47120.70,$141.05,
8/8/2018,$47100.90,$141.05,
9/8/2018,$47036.55,$141.05,
10/8/2018,$46721.40,$141.05,
11/8/2018,$46721.40,$141.05,
12/8/2018,$46721.40,$141.05,
13/8/2018,$46546.50,$141.05,
14/8/2018,$46843.50,$141.05,
15/8/2018,$46493.70,$141.05,
16/8/2018,$46869.90,$141.05,
17/8/2018,$47034.90,$141.05,
18/8/2018,$47034.90,$141.05,
19/8/2018,$47034.90,$141.05,
20/8/2018,$47135.55,$141.05,
21/8/2018,$47246.10,$141.05,
22/8/2018,$47218.05,$141.05,
23/8/2018,$47155.35,$141.05,
24/8/2018,$47439.15,$141.05,
25/8/2018,$47439.15,$141.05,
26/8/2018,$47439.15,$141.05,
27/8/2018,$47813.70,$141.05,
28/8/2018,$47836.80,$141.05,
29/8/2018,$48094.20,$141.05,
30/8/2018,$47899.50,$141.05,
31/8/2018,$47901.15,$141.05,
1/9/2018,$47901.15,$141.05,
2/9/2018,$47901.15,$141.05,
3/9/2018,$47901.15,$141.05,
4/9/2018,$47818.65,$141.05,
5/9/2018,$47689.95,$141.05,
6/9/2018,$47546.40,$141.05,
7/9/2018,$47454.00,$141.05,
8/9/2018,$47454.00,$141.05,
9/9/2018,$47454.00,$141.05,
10/9/2018,$47536.50,$141.05,
11/9/2018,$47693.25,$141.05,
12/9/2018,$47704.80,$141.05,
13/9/2018,$47986.95,$141.05,
14/9/2018,$47995.20,$141.05,
15/9/2018,$47995.20,$141.05,
16/9/2018,$47995.20,$141.05,
17/9/2018,$47741.10,$141.05,
18/9/2018,$48000.15,$141.05,
19/9/2018,$48051.30,$141.05,
20/9/2018,$48440.70,$141.05,
21/9/2018,$48178.35,$359.35,
22/9/2018,$48178.35,$359.35,
23/9/2018,$48178.35,$359.35,
24/9/2018,$48018.30,$359.35,
25/9/2018,$47973.75,$359.35,
26/9/2018,$47830.20,$359.35,
27/9/2018,$47963.85,$359.35,
28/9/2018,$47968.80,$359.35,
29/9/2018,$47968.80,$359.35,
30/9/2018,$47968.80,$359.35,
1/10/2018,$48135.45,$359.35,
2/10/2018,$48107.40,$359.35,
3/10/2018,$48133.80,$359.35,
4/10/2018,$47757.60,$359.35,
5/10/2018,$47490.30,$359.35,
6/10/2018,$47490.30,$359.35,
7/10/2018,$47490.30,$359.35,
8/10/2018,$47490.30,$359.35,
9/10/2018,$47421.00,$359.35,
10/10/2018,$0,$47686.30,
11/10/2018,$0,$47686.30,
12/10/2018,$0,$47686.30,
13/10/2018,$0,$47686.30,
14/10/2018,$0,$47686.30,
15/10/2018,$0,$47686.30,
16/10/2018,$0,$47686.30,
17/10/2018,$0,$47686.30,
18/10/2018,$0,$47686.30,
19/10/2018,$0,$47686.30,
20/10/2018,$0,$47686.30,
21/10/2018,$0,$47686.30,
22/10/2018,$0,$47686.30,
23/10/2018,$0,$47686.30,
24/10/2018,$0,$47686.30,
25/10/2018,$0,$47686.30,
26/10/2018,$0,$47686.30,
27/10/2018,$0,$47686.30,
28/10/2018,$0,$47686.30,
29/10/2018,$0,$47686.30,
30/10/2018,$0,$47686.30,
31/10/2018,$0,$47686.30,
1/11/2018,$0,$47686.30,
2/11/2018,$0,$47686.30,
3/11/2018,$0,$47686.30,
4/11/2018,$0,$47686.30,
5/11/2018,$0,$47686.30,
6/11/2018,$0,$47686.30,
7/11/2018,$0,$47686.30,
8/11/2018,$0,$47686.30,
9/11/2018,$0,$47686.30,
10/11/2018,$0,$47686.30,
11/11/2018,$0,$47686.30,
12/11/2018,$0,$47686.30,
13/11/2018,$0,$47686.30,
14/11/2018,$0,$47686.30,
15/11/2018,$0,$47686.30,
16/11/2018,$0,$47686.30,
17/11/2018,$0,$47686.30,
18/11/2018,$0,$47686.30,
19/11/2018,$0,$47686.30,
20/11/2018,$0,$47686.30,
21/11/2018,$0,$47686.30,
22/11/2018,$0,$47686.30,
23/11/2018,$0,$47686.30,
24/11/2018,$0,$47686.30,
25/11/2018,$0,$47686.30,
26/11/2018,$0,$47686.30,
27/11/2018,$0,$47686.30,
28/11/2018,$0,$47686.30,
29/11/2018,$0,$47686.30,
30/11/2018,$0,$47686.30,
1/12/2018,$0,$47686.30,
2/12/2018,$0,$47686.30,
3/12/2018,$0,$47686.30,
4/12/2018,$0,$47686.30,
5/12/2018,$0,$47686.30,
6/12/2018,$0,$47686.30,
7/12/2018,$0,$47686.30,
8/12/2018,$0,$47686.30,
9/12/2018,$0,$47686.30,
10/12/2018,$0,$47686.30,
11/12/2018,$0,$47686.30,
12/12/2018,$0,$47686.30,
13/12/2018,$0,$47686.30,
14/12/2018,$0,$47686.30,
15/12/2018,$0,$47686.30,
16/12/2018,$0,$47686.30,
17/12/2018,$0,$47686.30,
18/12/2018,$0,$47686.30,
19/12/2018,$0,$47686.30,
20/12/2018,$0,$47686.30,
21/12/2018,$0,$47686.30,
22/12/2018,$0,$47686.30,
23/12/2018,$0,$47686.30,
24/12/2018,$0,$47686.30,
25/12/2018,$0,$47686.30,
26/12/2018,$0,$47686.30,
27/12/2018,$0,$47686.30,
28/12/2018,$0,$47686.30,
29/12/2018,$0,$47686.30,
30/12/2018,$0,$47686.30,
31/12/2018,$0,$47686.30,
1/1/2019,$0,$47686.30,
2/1/2019,$0,$47686.30,
3/1/2019,$0,$47686.30,
4/1/2019,$0,$47686.30,
5/1/2019,$0,$47686.30,
6/1/2019,$0,$47686.30,
7/1/2019,$0,$47686.30,
8/1/2019,$0,$47686.30,
9/1/2019,$0,$47686.30,
10/1/2019,$0,$47686.30,
11/1/2019,$0,$47686.30,
12/1/2019,$0,$47686.30,
13/1/2019,$0,$47686.30,
14/1/2019,$0,$47686.30,
15/1/2019,$0,$47686.30,
16/1/2019,$0,$47686.30,
17/1/2019,$0,$47686.30,
18/1/2019,$0,$47686.30,
19/1/2019,$0,$47686.30,
20/1/2019,$0,$47686.30,
21/1/2019,$0,$47686.30,
22/1/2019,$47314.80,$18.70,
23/1/2019,$47413.80,$18.70,
24/1/2019,$47439.00,$18.70,
25/1/2019,$47840.40,$18.70,
26/1/2019,$47840.40,$18.70,
27/1/2019,$47840.40,$18.70,
28/1/2019,$47476.80,$18.70,
29/1/2019,$47413.80,$18.70,
30/1/2019,$48164.40,$18.70,
31/1/2019,$48587.40,$18.70,
1/2/2019,$48610.80,$18.70,
2/2/2019,$48610.80,$18.70,
3/2/2019,$48610.80,$18.70,
4/2/2019,$48952.80,$18.70,
5/2/2019,$49158.00,$18.70,
6/2/2019,$49093.20,$18.70,
7/2/2019,$48625.20,$18.70,
8/2/2019,$48684.60,$18.70,
9/2/2019,$48684.60,$18.70,
10/2/2019,$48684.60,$18.70,
11/2/2019,$48711.60,$18.70,
12/2/2019,$49338.00,$18.70,
13/2/2019,$49498.20,$18.70,
14/2/2019,$49388.40,$18.70,
15/2/2019,$49926.60,$18.70,
16/2/2019,$49926.60,$18.70,
17/2/2019,$49926.60,$18.70,
18/2/2019,$49926.60,$18.70,
19/2/2019,$50013.00,$18.70,
20/2/2019,$50113.80,$18.70,
21/2/2019,$49935.60,$18.70,
22/2/2019,$50245.20,$18.70,
23/2/2019,$50245.20,$18.70,
24/2/2019,$50245.20,$18.70,
25/2/2019,$50313.60,$18.70,
26/2/2019,$50277.60,$18.70,
27/2/2019,$50256.00,$18.70,
28/2/2019,$50162.40,$18.70,
1/3/2019,$50475.60,$18.70,
2/3/2019,$50475.60,$18.70,
3/3/2019,$50475.60,$18.70,
4/3/2019,$50292.00,$18.70,
5/3/2019,$50223.60,$18.70,
6/3/2019,$49919.40,$18.70,
7/3/2019,$49501.80,$18.70,
8/3/2019,$49402.80,$18.70,
9/3/2019,$49402.80,$18.70,
10/3/2019,$49402.80,$18.70,
11/3/2019,$50119.20,$18.70,
12/3/2019,$50308.20,$18.70,
13/3/2019,$50641.20,$18.70,
14/3/2019,$50608.80,$18.70,
15/3/2019,$50635.80,$240.64,
16/3/2019,$50635.80,$240.64,
17/3/2019,$50635.80,$240.64,
18/3/2019,$50819.40,$240.64,
19/3/2019,$50832.00,$240.64,
20/3/2019,$50679.00,$240.64,
21/3/2019,$51251.40,$240.64,
22/3/2019,$50265.00,$240.64,
23/3/2019,$50265.00,$240.64,
24/3/2019,$50265.00,$240.64,
25/3/2019,$50227.20,$240.64,
26/3/2019,$50601.60,$240.64,
27/3/2019,$50337.00,$240.64,
28/3/2019,$50527.80,$240.64,
29/3/2019,$50846.40,$240.64,
30/3/2019,$50846.40,$240.64,
31/3/2019,$50846.40,$240.64,
1/4/2019,$51449.40,$240.64,
2/4/2019,$51474.60,$240.64,
3/4/2019,$51555.60,$240.64,
4/4/2019,$51692.40,$240.64,
5/4/2019,$51942.60,$240.64,
6/4/2019,$51942.60,$240.64,
7/4/2019,$51942.60,$240.64,
8/4/2019,$51982.20,$240.64,
9/4/2019,$51715.80,$240.64,
10/4/2019,$51892.20,$240.64,
11/4/2019,$51877.80,$240.64,
12/4/2019,$52228.80,$240.64,
13/4/2019,$52228.80,$240.64,
14/4/2019,$52228.80,$240.64,
15/4/2019,$52194.60,$240.64,
16/4/2019,$52228.80,$240.64,
17/4/2019,$52101.00,$240.64,
18/4/2019,$52203.60,$240.64,
19/4/2019,$52203.60,$240.64,
20/4/2019,$52203.60,$240.64,
21/4/2019,$52203.60,$240.64,
22/4/2019,$52248.60,$240.64,
23/4/2019,$52718.40,$240.64,
24/4/2019,$52601.40,$240.64,
25/4/2019,$52569.00,$240.64,
26/4/2019,$52813.80,$240.64,
27/4/2019,$52813.80,$240.64,
28/4/2019,$52813.80,$240.64,
29/4/2019,$52896.60,$240.64,
30/4/2019,$52923.60,$240.64,
1/5/2019,$52525.80,$240.64,
2/5/2019,$52412.40,$240.64,
3/5/2019,$52925.40,$240.64,
4/5/2019,$52925.40,$240.64,
5/5/2019,$52925.40,$240.64,
6/5/2019,$52707.60,$240.64,
7/5/2019,$51827.40,$240.64,
8/5/2019,$51755.40,$240.64,
9/5/2019,$51598.80,$240.64,
10/5/2019,$51858.00,$240.64,
11/5/2019,$51858.00,$240.64,
12/5/2019,$51858.00,$240.64,
13/5/2019,$50554.80,$240.64,
14/5/2019,$0,$50998.84,
15/5/2019,$0,$50998.84,
16/5/2019,$0,$50998.84,
17/5/2019,$0,$50998.84,
18/5/2019,$0,$50998.84,
19/5/2019,$0,$50998.84,
20/5/2019,$0,$50998.84,
21/5/2019,$0,$50998.84,
22/5/2019,$0,$50998.84,
23/5/2019,$0,$50998.84,
24/5/2019,$0,$50998.84,
25/5/2019,$0,$50998.84,
26/5/2019,$0,$50998.84,
27/5/2019,$0,$50998.84,
28/5/2019,$0,$50998.84,
29/5/2019,$0,$50998.84,
30/5/2019,$0,$50998.84,
31/5/2019,$0,$50998.84,
1/6/2019,$0,$50998.84,
2/6/2019,$0,$50998.84,
3/6/2019,$0,$50998.84,
4/6/2019,$0,$50998.84,
5/6/2019,$0,$50998.84,
6/6/2019,$0,$50998.84,
7/6/2019,$0,$50998.84,
8/6/2019,$0,$50998.84,
9/6/2019,$0,$50998.84,
10/6/2019,$0,$50998.84,
11/6/2019,$0,$50998.84,
12/6/2019,$50756.64,$198.20,
13/6/2019,$50966.08,$198.20,
14/6/2019,$50909.76,$198.20,
15/6/2019,$50909.76,$198.20,
16/6/2019,$50909.76,$198.20,
17/6/2019,$50929.12,$198.20,
18/6/2019,$51462.40,$198.20,
19/6/2019,$51578.56,$198.20,
20/6/2019,$52071.36,$198.20,
21/6/2019,$51744.00,$450.23,
22/6/2019,$51744.00,$450.23,
23/6/2019,$51744.00,$450.23,
24/6/2019,$51680.64,$450.23,
25/6/2019,$51173.76,$450.23,
26/6/2019,$51122.72,$450.23,
27/6/2019,$51304.00,$450.23,
28/6/2019,$51568.00,$450.23,
29/6/2019,$51568.00,$450.23,
30/6/2019,$51568.00,$450.23,
1/7/2019,$52036.16,$450.23,
2/7/2019,$52171.68,$450.23,
3/7/2019,$52588.80,$450.23,
4/7/2019,$52588.80,$450.23,
5/7/2019,$52528.96,$450.23,
6/7/2019,$52528.96,$450.23,
7/7/2019,$52528.96,$450.23,
8/7/2019,$52240.32,$450.23,
9/7/2019,$52305.44,$450.23,
10/7/2019,$52555.36,$450.23,
11/7/2019,$52678.56,$450.23,
12/7/2019,$52914.40,$450.23,
13/7/2019,$52914.40,$450.23,
14/7/2019,$52914.40,$450.23,
15/7/2019,$52932.00,$450.23,
16/7/2019,$52761.28,$450.23,
17/7/2019,$52402.24,$450.23,
18/7/2019,$52594.08,$450.23,
19/7/2019,$52301.92,$450.23,
20/7/2019,$52301.92,$450.23,
21/7/2019,$52301.92,$450.23,
22/7/2019,$52430.40,$450.23,
23/7/2019,$52805.28,$450.23,
24/7/2019,$53053.44,$450.23,
25/7/2019,$52800.00,$450.23,
26/7/2019,$53153.76,$450.23,
27/7/2019,$53153.76,$450.23,
28/7/2019,$53153.76,$450.23,
29/7/2019,$53056.96,$450.23,
30/7/2019,$52926.72,$450.23,
31/7/2019,$52347.68,$450.23,
1/8/2019,$51891.84,$450.23,
2/8/2019,$51501.12,$450.23,
3/8/2019,$51501.12,$450.23,
4/8/2019,$51501.12,$450.23,
5/8/2019,$49952.32,$450.23,
6/8/2019,$0,$50770.39,
7/8/2019,$0,$50770.39,
8/8/2019,$0,$50770.39,
9/8/2019,$0,$50770.39,
10/8/2019,$0,$50770.39,
11/8/2019,$0,$50770.39,
12/8/2019,$0,$50770.39,
13/8/2019,$0,$50770.39,
14/8/2019,$0,$50770.39,
15/8/2019,$0,$50770.39,
16/8/2019,$0,$50770.39,
17/8/2019,$0,$50770.39,
18/8/2019,$0,$50770.39,
19/8/2019,$0,$50770.39,
20/8/2019,$0,$50770.39,
21/8/2019,$0,$50770.39,
22/8/2019,$0,$50770.39,
23/8/2019,$0,$50770.39,
24/8/2019,$0,$50770.39,
25/8/2019,$0,$50770.39,
26/8/2019,$0,$50770.39,
27/8/2019,$0,$50770.39,
28/8/2019,$0,$50770.39,
29/8/2019,$0,$50770.39,
30/8/2019,$0,$50770.39,
31/8/2019,$0,$50770.39,
1/9/2019,$0,$50770.39,
2/9/2019,$0,$50770.39,
3/9/2019,$0,$50770.39,
4/9/2019,$0,$50770.39,
5/9/2019,$0,$50770.39,
6/9/2019,$50668.50,$81.49,
7/9/2019,$50668.50,$81.49,
8/9/2019,$50668.50,$81.49,
9/9/2019,$50694.00,$81.49,
10/9/2019,$50682.10,$81.49,
11/9/2019,$51042.50,$81.49,
12/9/2019,$51219.30,$81.49,
13/9/2019,$51185.30,$81.49,
14/9/2019,$51185.30,$81.49,
15/9/2019,$51185.30,$81.49,
16/9/2019,$51027.20,$81.49,
17/9/2019,$51156.40,$81.49,
18/9/2019,$51187.00,$81.49,
19/9/2019,$51183.60,$81.49,
20/9/2019,$50707.60,$316.77,
21/9/2019,$50707.60,$316.77,
22/9/2019,$50707.60,$316.77,
23/9/2019,$50695.70,$316.77,
24/9/2019,$50297.90,$316.77,
25/9/2019,$50595.40,$316.77,
26/9/2019,$50490.00,$316.77,
27/9/2019,$50218.00,$316.77,
28/9/2019,$50218.00,$316.77,
29/9/2019,$50218.00,$316.77,
30/9/2019,$50450.90,$316.77,
1/10/2019,$49850.80,$316.77,
2/10/2019,$0,$49871.77,
3/10/2019,$0,$49871.77,
4/10/2019,$0,$49871.77,
5/10/2019,$0,$49871.77,
6/10/2019,$0,$49871.77,
7/10/2019,$0,$49871.77,
8/10/2019,$0,$49871.77,
9/10/2019,$0,$49871.77,
10/10/2019,$0,$49871.77,
11/10/2019,$0,$49871.77,
12/10/2019,$0,$49871.77,
13/10/2019,$0,$49871.77,
14/10/2019,$0,$49871.77,
15/10/2019,$49912.96,$256.07,
16/10/2019,$49832.80,$256.07,
17/10/2019,$49979.76,$256.07,
18/10/2019,$49760.99,$256.07,
19/10/2019,$49760.99,$256.07,
20/10/2019,$49760.99,$256.07,
21/10/2019,$50098.33,$256.07,
22/10/2019,$49934.67,$256.07,
23/10/2019,$50079.96,$256.07,
24/10/2019,$50161.79,$256.07,
25/10/2019,$50367.20,$256.07,
26/10/2019,$50367.20,$256.07,
27/10/2019,$50367.20,$256.07,
28/10/2019,$50651.10,$256.07,
29/10/2019,$50636.07,$256.07,
30/10/2019,$50791.38,$256.07,
31/10/2019,$50656.11,$256.07,
1/11/2019,$51125.38,$256.07,
2/11/2019,$51125.38,$256.07,
3/11/2019,$51125.38,$256.07,
4/11/2019,$51330.79,$256.07,
5/11/2019,$51274.01,$256.07,
6/11/2019,$51285.70,$256.07,
7/11/2019,$51466.06,$256.07,
8/11/2019,$51592.98,$256.07,
9/11/2019,$51592.98,$256.07,
10/11/2019,$51592.98,$256.07,
11/11/2019,$51494.45,$256.07,
12/11/2019,$51603.00,$256.07,
13/11/2019,$51619.70,$256.07,
14/11/2019,$51694.85,$256.07,
15/11/2019,$52068.93,$256.07,
16/11/2019,$52068.93,$256.07,
17/11/2019,$52068.93,$256.07,
18/11/2019,$52107.34,$256.07,
19/11/2019,$52092.31,$256.07,
20/11/2019,$51898.59,$256.07,
21/11/2019,$51815.09,$256.07,
22/11/2019,$51930.32,$256.07,
23/11/2019,$51930.32,$256.07,
24/11/2019,$51930.32,$256.07,
25/11/2019,$52332.79,$256.07,
26/11/2019,$52451.36,$256.07,
27/11/2019,$52685.16,$256.07,
28/11/2019,$52685.16,$256.07,
29/11/2019,$52489.77,$256.07,
30/11/2019,$52489.77,$256.07,
1/12/2019,$52489.77,$256.07,
2/12/2019,$52043.88,$256.07,
3/12/2019,$51694.85,$256.07,
4/12/2019,$52013.82,$256.07,
5/12/2019,$52107.34,$256.07,
6/12/2019,$52583.29,$256.07,
7/12/2019,$52583.29,$256.07,
8/12/2019,$52583.29,$256.07,
9/12/2019,$52417.96,$256.07,
10/12/2019,$52359.51,$256.07,
11/12/2019,$52508.14,$256.07,
12/12/2019,$52960.71,$256.07,
13/12/2019,$52992.44,$256.07,
14/12/2019,$52992.44,$256.07,
15/12/2019,$52992.44,$256.07,
16/12/2019,$53356.50,$256.07,
17/12/2019,$53368.19,$256.07,
18/12/2019,$53371.53,$256.07,
19/12/2019,$53590.30,$256.07,
20/12/2019,$53561.91,$518.26,
21/12/2019,$53561.91,$518.26,
22/12/2019,$53561.91,$518.26,
23/12/2019,$53643.74,$518.26,
24/12/2019,$53645.41,$518.26,
25/12/2019,$53645.41,$518.26,
26/12/2019,$53930.98,$518.26,
27/12/2019,$53917.62,$518.26,
28/12/2019,$53917.62,$518.26,
29/12/2019,$53917.62,$518.26,
30/12/2019,$53620.36,$518.26,
31/12/2019,$53750.62,$518.26,
1/1/2020,$53750.62,$518.26,
2/1/2020,$54253.29,$518.26,
3/1/2020,$53842.47,$518.26,
4/1/2020,$53842.47,$518.26,
5/1/2020,$53842.47,$518.26,
6/1/2020,$54047.88,$518.26,
7/1/2020,$53895.91,$518.26,
8/1/2020,$54183.15,$518.26,
9/1/2020,$54550.55,$518.26,
10/1/2020,$54393.57,$518.26,
11/1/2020,$54393.57,$518.26,
12/1/2020,$54393.57,$518.26,
13/1/2020,$54767.65,$518.26,
14/1/2020,$54684.15,$518.26,
15/1/2020,$54807.73,$518.26,
16/1/2020,$55263.64,$518.26,
17/1/2020,$55435.65,$518.26,
18/1/2020,$55435.65,$518.26,
19/1/2020,$55435.65,$518.26,
20/1/2020,$55435.65,$518.26,
21/1/2020,$55327.10,$518.26,
22/1/2020,$55333.78,$518.26,
23/1/2020,$55397.24,$518.26,
24/1/2020,$54904.59,$518.26,
25/1/2020,$54904.59,$518.26,
26/1/2020,$54904.59,$518.26,
27/1/2020,$54024.50,$518.26,
28/1/2020,$54590.63,$518.26,
29/1/2020,$54545.54,$518.26,
30/1/2020,$54722.56,$518.26,
